# Echo 22 focal plane parameters calculated from model in DESI-4037v6.							
# The plate scale varies with radius, and is different in the							
# meridional (radial) direction vs. the							
# sagittal (tangential/azimuthal) direction.  The table below							
# contains the F/#, Focal Length, and Plate Scale vs. radius for							
# both the meridional and sagittal orientations at that radius.							
							
# Columns:							
# - Radius : radius from center of focal plane [mm]							
# - Theta radial angle that has a centroid at this radius [deg]							
# - MF/# : Meridional F/#							
# - SF/# : Sagittal F/#							
# - MFL  : Meridional focal length [m]							
# - SFL  : Sagittal focal length [m]							
# - MPS  : Meridional plate scale [um/arcsec]							
# - SPS  : Sagittal plate scale [um/arcsec]							
# Radius	Theta	MF/#	SF/#	MFL	SFL	MPS	SPS
96.738812203	0.397146763	3.706554223	3.686728020	14.029760435	13.956202162	68.018140565	67.661520293
97.701701173	0.401078910	3.707142893	3.686919528	14.031948728	13.956927830	68.028749700	67.665038430
98.664578295	0.405011058	3.707737473	3.687112933	14.034158557	13.957660632	68.039463245	67.668591148
99.627768858	0.408943203	3.708337965	3.687308238	14.036389925	13.958400566	68.050281213	67.672178448
100.590916253	0.412875348	3.708944378	3.687505440	14.038642836	13.959147633	68.061203620	67.675800323
101.554414475	0.416807493	3.709556708	3.687704540	14.040917291	13.959901833	68.072230483	67.679456788
102.518069185	0.420739643	3.710174965	3.687905540	14.043213295	13.960663166	68.083361813	67.683147835
103.481881880	0.424671788	3.710799150	3.688108440	14.045530852	13.961431633	68.094597638	67.686873460
104.445854068	0.428603933	3.711429265	3.688313240	14.047869963	13.962207233	68.105937963	67.690633673
105.409987243	0.432536080	3.712065315	3.688519940	14.050230635	13.962989966	68.117382810	67.694428468
106.374282898	0.436468228	3.712707303	3.688728538	14.052612870	13.963779834	68.128932200	67.698257850
107.338742540	0.440400373	3.713355233	3.688939038	14.055016674	13.964576836	68.140586160	67.702121823
108.303367665	0.444332518	3.714009110	3.689151443	14.057442050	13.965380972	68.152344703	67.706020383
109.268159783	0.448264663	3.714668930	3.689365748	14.059889003	13.966192243	68.164207858	67.709953533
110.233120388	0.452196813	3.715334708	3.689581950	14.062357538	13.967010649	68.176175645	67.713921278
111.198250985	0.456128958	3.716006438	3.689800060	14.064847661	13.967836191	68.188248093	67.717923610
112.163553083	0.460061103	3.716684128	3.690020070	14.067359377	13.968668868	68.200425223	67.721960543
113.129028175	0.463993248	3.717367780	3.690241990	14.069892691	13.969508682	68.212707068	67.726032068
114.094677778	0.467925398	3.718057398	3.690465808	14.072447610	13.970355633	68.225093655	67.730138198
115.060503385	0.471857543	3.718752983	3.690691530	14.075024139	13.971209721	68.237585008	67.734278933
116.026495295	0.475789688	3.719454543	3.690919160	14.077622285	13.972070947	68.250181163	67.738454273
116.992677713	0.479721833	3.720162080	3.691148695	14.080242054	13.972939312	68.262882153	67.742664218
117.959040668	0.483653980	3.720875600	3.691380130	14.082883454	13.973814815	68.275688005	67.746908778
118.925585668	0.487586128	3.721595103	3.691613478	14.085546490	13.974697459	68.288598763	67.751187945
119.892314215	0.491518273	3.722320593	3.691848728	14.088231172	13.975587242	68.301614458	67.755501735
120.859227833	0.495450418	3.723052073	3.692085888	14.090937505	13.976484167	68.314735118	67.759850148
121.826328023	0.499382563	3.723789550	3.692324958	14.093665498	13.977388234	68.327960793	67.764233183
122.793616300	0.503314713	3.724533028	3.692565928	14.096415160	13.978299443	68.341291520	67.768650848
123.761094175	0.507246858	3.725282508	3.692808818	14.099186498	13.979217796	68.354727330	67.773103145
124.728763163	0.511179003	3.726037995	3.693053608	14.101979521	13.980143294	68.368268275	67.777590080
125.696624775	0.515111148	3.726799495	3.693300308	14.104794238	13.981075937	68.381914398	67.782111655
126.664680530	0.519043298	3.727567008	3.693548918	14.107630658	13.982015725	68.395665743	67.786667878
127.632931940	0.522975443	3.728340540	3.693799445	14.110488791	13.982962662	68.409522348	67.791258748
128.601380515	0.526907588	3.729120098	3.694051878	14.113368646	13.983916746	68.423484265	67.795884275
129.570027785	0.530839733	3.729905680	3.694306225	14.116270233	13.984877980	68.437551545	67.800544465
130.538875260	0.534771880	3.730697290	3.694562483	14.119193562	13.985846364	68.451724235	67.805239320
131.507924463	0.538704028	3.731494943	3.694820653	14.122138645	13.986821900	68.466002385	67.809968850
132.477176905	0.542636173	3.732298625	3.695080738	14.125105491	13.987804589	68.480386050	67.814733053
133.446634120	0.546568318	3.733108355	3.695342735	14.128094113	13.988794432	68.494875280	67.819531945
134.416297620	0.550500463	3.733924135	3.695606648	14.131104520	13.989791431	68.509470138	67.824365523
135.386168925	0.554432613	3.734745965	3.695872473	14.134136726	13.990795586	68.524170675	67.829233803
136.356249563	0.558364758	3.735573850	3.696140218	14.137190741	13.991806917	68.538976948	67.834136875
137.326541058	0.562296903	3.736407790	3.696409878	14.140266580	13.992825390	68.553889018	67.839074563
138.297044938	0.566229050	3.737247798	3.696681448	14.143364253	13.993851024	68.568906948	67.844046975
139.267603908	0.570161198	3.738093878	3.696954945	14.146483774	13.994883820	68.584030805	67.849054108
140.238536945	0.574093343	3.738946023	3.697230355	14.149625156	13.995923781	68.599260640	67.854095973
141.209686958	0.578025488	3.739804250	3.697507685	14.152788413	13.996970907	68.614596528	67.859172575
142.181055483	0.581957633	3.740668553	3.697786935	14.155973558	13.998025200	68.630038530	67.864283935
143.152644053	0.585889783	3.741538943	3.698068105	14.159180605	13.999086663	68.645586723	67.869430045
144.124454193	0.589821928	3.742415425	3.698351195	14.162409570	14.000155296	68.661241173	67.874610923
145.096487435	0.593754073	3.743298000	3.698636205	14.165660466	14.001231103	68.677001948	67.879826570
146.068745313	0.597686218	3.744186673	3.698923135	14.168933308	14.002314083	68.692869125	67.885077005
147.041229363	0.601618368	3.745081448	3.699211988	14.172228113	14.003404240	68.708842775	67.890362235
148.013941118	0.605550513	3.745982330	3.699502765	14.175544895	14.004501576	68.724922978	67.895682263
148.986882110	0.609482658	3.746889325	3.699795468	14.178883671	14.005606092	68.741109805	67.901037103
149.960053883	0.613414803	3.747802438	3.700090093	14.182244458	14.006717790	68.757403343	67.906426760
150.933457963	0.617346950	3.748721668	3.700386643	14.185627270	14.007836673	68.773803665	67.911851253
151.907095903	0.621279098	3.749647023	3.700685118	14.189032127	14.008962743	68.790310863	67.917310588
152.880969230	0.625211243	3.750578510	3.700985523	14.192459044	14.010096001	68.806925013	67.922804780
153.855079490	0.629143388	3.751516133	3.701287853	14.195908040	14.011236451	68.823646200	67.928333833
154.829428225	0.633075533	3.752459890	3.701592105	14.199379132	14.012384095	68.840474515	67.933897758
155.804016978	0.637007683	3.753409798	3.701898295	14.202872338	14.013538934	68.857410043	67.939496573
