#   WAVELENGTH        FLUX
#------------- -----------
     3616.200     0.90955
     3616.300     0.90983
     3616.400     0.91010
     3616.500     0.91038
     3616.600     0.91065
     3616.700     0.91093
     3616.800     0.91120
     3616.900     0.91148
     3617.000     0.91133
     3617.100     0.91102
     3617.200     0.91071
     3617.300     0.91039
     3617.400     0.91008
     3617.500     0.90977
     3617.600     0.90945
     3617.700     0.90914
     3617.800     0.90875
     3617.900     0.90823
     3618.000     0.90772
     3618.100     0.90721
     3618.200     0.90669
     3618.300     0.90618
     3618.400     0.90566
     3618.500     0.90515
     3618.600     0.90465
     3618.700     0.90444
     3618.800     0.90423
     3618.900     0.90403
     3619.000     0.90382
     3619.100     0.90361
     3619.200     0.90341
     3619.300     0.90320
     3619.400     0.90299
     3619.500     0.90286
     3619.600     0.90275
     3619.700     0.90264
     3619.800     0.90253
     3619.900     0.90243
     3620.000     0.90232
     3620.100     0.90221
     3620.200     0.90210
     3620.300     0.90222
     3620.400     0.90272
     3620.500     0.90322
     3620.600     0.90372
     3620.700     0.90421
     3620.800     0.90471
     3620.900     0.90521
     3621.000     0.90570
     3621.100     0.90617
     3621.200     0.90590
     3621.300     0.90564
     3621.400     0.90537
     3621.500     0.90511
     3621.600     0.90484
     3621.700     0.90458
     3621.800     0.90431
     3621.900     0.90405
     3622.000     0.90377
     3622.100     0.90347
     3622.200     0.90318
     3622.300     0.90289
     3622.400     0.90260
     3622.500     0.90231
     3622.600     0.90202
     3622.700     0.90172
     3622.800     0.90152
     3622.900     0.90146
     3623.000     0.90141
     3623.100     0.90135
     3623.200     0.90129
     3623.300     0.90124
     3623.400     0.90118
     3623.500     0.90113
     3623.600     0.90108
     3623.700     0.90146
     3623.800     0.90184
     3623.900     0.90222
     3624.000     0.90260
     3624.100     0.90298
     3624.200     0.90336
     3624.300     0.90374
     3624.400     0.90412
     3624.500     0.90453
     3624.600     0.90496
     3624.700     0.90539
     3624.800     0.90583
     3624.900     0.90626
     3625.000     0.90669
     3625.100     0.90712
     3625.200     0.90755
     3625.300     0.90773
     3625.400     0.90739
     3625.500     0.90704
     3625.600     0.90670
     3625.700     0.90636
     3625.800     0.90601
     3625.900     0.90567
     3626.000     0.90533
